epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,5364.22,0.53189,0.36279,0.91693,0.97901,0.97923,0.99153,0.8601,0.60422,0.28056,0.98956,9.3198e-05,9.3198e-05,9.3198e-05
87,5426.59,0.52249,0.35658,0.91373,0.97992,0.97768,0.99178,0.8612,0.60202,0.28288,0.98215,8.73768e-05,8.73768e-05,8.73768e-05
88,5489.02,0.52509,0.35964,0.9152,0.97796,0.97883,0.99158,0.86295,0.5997,0.27994,0.97604,8.15556e-05,8.15556e-05,8.15556e-05
89,5551.53,0.51826,0.3594,0.91574,0.977,0.9831,0.99157,0.86785,0.58767,0.27687,0.96849,7.57344e-05,7.57344e-05,7.57344e-05
90,5614.15,0.51896,0.35777,0.91033,0.98108,0.98305,0.99192,0.8632,0.58926,0.2726,0.96885,6.99132e-05,6.99132e-05,6.99132e-05
91,5677.05,0.48777,0.29794,0.901,0.98241,0.98143,0.99288,0.85796,0.60197,0.27468,0.97714,6.4092e-05,6.4092e-05,6.4092e-05
92,5738.8,0.47459,0.29032,0.89012,0.98133,0.98338,0.99276,0.86107,0.60701,0.27275,0.97993,5.82708e-05,5.82708e-05,5.82708e-05
93,5800.63,0.47249,0.28962,0.89271,0.97443,0.99059,0.99263,0.86341,0.60305,0.2718,0.98224,5.24496e-05,5.24496e-05,5.24496e-05
94,5862.56,0.47384,0.28993,0.89557,0.97991,0.9855,0.99264,0.86301,0.61108,0.27723,0.98215,4.66284e-05,4.66284e-05,4.66284e-05
95,5924.22,0.46849,0.28743,0.89089,0.97823,0.98859,0.99242,0.86171,0.60352,0.2754,0.97761,4.08072e-05,4.08072e-05,4.08072e-05
96,5986.27,0.46594,0.28632,0.89415,0.97863,0.98748,0.99246,0.85961,0.59593,0.26983,0.97017,3.4986e-05,3.4986e-05,3.4986e-05
97,6048.15,0.4626,0.28322,0.88703,0.98016,0.98771,0.99261,0.86217,0.59214,0.26763,0.96822,2.91648e-05,2.91648e-05,2.91648e-05
98,6109.88,0.45892,0.2828,0.88413,0.97918,0.98841,0.99259,0.8631,0.5953,0.26795,0.97004,2.33436e-05,2.33436e-05,2.33436e-05
99,6171.89,0.46024,0.28149,0.88702,0.9801,0.98763,0.99206,0.86259,0.59261,0.26729,0.96826,1.75224e-05,1.75224e-05,1.75224e-05
100,6234.01,0.45828,0.27545,0.88768,0.9779,0.98811,0.99202,0.8659,0.5957,0.27153,0.97046,1.17012e-05,1.17012e-05,1.17012e-05
